 3.03 OBSERVATION DATA M: Mixed RINEX VERSION / TYPE
RTKCONV 2.4.3 b33 20191125 135756 UTC PGM / RUN BY / DATE 
log: C:\Users\henri\Nextcloud\M2\Projet S1\data_blox\very COMMENT 
format: u-blox COMMENT 
 MARKERNAME 
 MARKERNUMBER
 MARKERTYPE 
 OBSERVER/ AGENCY 
 REC # / TYPE / VERS 
 ANT # / TYPE 
 4063320.4876 244285.1881 4893859.0427 APPROX POSITION XYZ 
 0.0000 0.0000 0.0000 ANTENNA: DELTA H/E/N
G4 C1C L1C D1C S1C SYS / # / OBS TYPES 
R4 C1C L1C D1C S1C SYS / # / OBS TYPES 
E 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
J 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
S 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
C 4 C2I L2I D2I S2I SYS / # / OBS TYPES 
 2019 11 25 12 24 55.9920000 GPS TIME OF FIRST OBS 
 2019 11 25 13 3 20.9930000 GPS TIME OF LAST OBS 
GSYS / PHASE SHIFT 
RSYS / PHASE SHIFT 
E SYS / PHASE SHIFT 
J SYS / PHASE SHIFT 
S SYS / PHASE SHIFT 
C SYS / PHASE SHIFT 
 0 GLONASS SLOT / FRQ #
 C1C 0.000 C1P 0.000 C2C 0.000 C2P 0.000 GLONASS COD/PHS/BIS 
 END OF HEADER
G26 22754631.222 119576403.510 -2285.665 34.000 
> 2019 11 25 12 25 1.9920000 0 20 
G9 18483173.825 97129747.564 -2372.845 48.000 
G2 19624306.593 103126436.720 -627.423 45.000 
G7 18905873.372 99351034.393 1061.920 49.000 
R18 19992201.581 106719639.704 -4401.002 47.000 
G5 20688256.647 108717572.777 2678.173 42.000 
R19 18823437.375 100692660.960 -1329.019 37.000 
G6 19689604.784 103469556.696 -3375.140 48.000 
R3 16999795.835 91001223.695 38.981 49.000 
G4 19030794.167 100007491.333 -2828.506 45.000 
G23 20571567.966 108104283.805 -3224.199 45.000 
R10 21142478.389 3 -4304.635 19.000 
R11 20989480.160 112161173.697 -4142.036 32.000 
R2 18517810.331 98814505.879 -3142.260 46.000 
G30 20384344.300 107120451.953 2799.635 47.000 
R13 18788784.164 100330990.875 2954.762 41.000 
R20 21146065.759 3 2545.162 23.000 
G16 21641056.125 113724533.809 -597.682 29.000 
R12 18188180.357 97157911.048 -1108.161 47.000 
G29 22367879.847 117544028.211 -336.230 42.000 
G26 22755066.090 119578689.737 -2286.238 34.000 
> 2019 11 25 12 25 2.9920000 0 20 
G9 18483625.018 97132120.266 -2372.845 48.000 
G2 19624426.450 103127063.998 -627.655 45.000 
G7 18905671.351 99349972.346 1061.631 49.000 
R18 19993026.750 106724040.610 -4401.238 47.000 
G5 20687746.839 108714894.324 2678.194 42.000 
R19 18823685.901 100693989.842 -1329.412 37.000 
G6 19690247.275 103472931.573 -3375.179 48.000 
R3 16999789.029 91001184.648 38.779 49.000 
G4 19031332.314 100010319.458 -2828.470 45.000 
G23 20572181.524 108107507.756 -3224.058 45.000 
R10 21143283.158 3 -4295.475 18.000 
R11 20990252.559 112165315.876 -4142.829 32.000 
R2 18518398.787 98817647.970 -3142.328 46.000 
G30 20383811.432 107117651.984 2799.675 47.000 
R13 18788230.739 100328035.676 2954.821 41.000 
R20 21145585.520 3 2547.650 24.000 
G16 21641175.991 113725131.768 -598.384 29.000 
R12 18188387.430 97159019.469 -1108.956 47.000 
G29 22367943.252 117544364.341 -336.579 41.000 
G26 22755501.036 119580976.455 -2286.847 34.000 
> 2019 11 25 12 25 3.9920000 0 20 
G9 18484076.542 97134493.124 -2373.218 48.000 
G2 19624545.931 103127691.673 -628.173 45.000 
G7 18905468.893 99348910.600 1061.426 48.000 
R18 19993851.211 106728441.687 -4401.367 47.000 
G5 20687237.214 108712215.828 2678.379 42.000 
R19 18823934.235 100695319.399 -1330.043 37.000 
G6 19690889.548 103476306.681 -3375.394 48.000 
R3 16999782.485 91001145.807 38.486 49.000 
G4 19031870.566 100013147.665 -2828.560 45.000 
G23 20572795.170 108110731.679 -3224.067 45.000 
R10 21144086.697 3 -4290.260 18.000 
R11 20991030.586 112169458.221 -4142.980 31.000 
R2 18518987.156 98820790.144 -3142.304 46.000 
G30 20383278.799 107114852.071 2799.709 47.000 
R13 18787677.280 100325080.829 2954.872 41.000 
R20 21145103.903 3 2548.440 24.000 
G16 21641292.907 113725730.225 -599.095 29.000 
R12 18188594.189 97160128.617 -1109.737 47.000 
G29 22368006.675 117544700.896 -336.881 41.000 
G26 22755936.070 119583263.477 -2287.792 34.000 
> 2019 11 25 12 25 4.9920000 0 20 
G9 18484528.424 97136866.660 -2374.030 48.000 
G2 19624665.265 103128320.275 -629.123 45.000 
G7 18905267.160 99347849.701 1060.436 48.000 
R18 19994675.961 106732843.507 -4402.165 47.000 
G5 20686727.947 108709537.861 2677.771 42.000 
R19 18824183.354 100696650.266 -1331.764 37.000 
